ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,flag,cap
US74340W1036,,4570459.437944399,,,,,,Pure Play,,,,,,,8.0,1.0,1.0
US74460D1090,,3187980.9582195096,,,,,,Pure Play,,,,,,,8.0,1.0,1.0
US98980A1051,,1440454.58281464,,,,,,Pure Play,,,,,,,9.461632255332288,0.0,1.0
US30225T1025,,1224089.6492266601,,,,,,Pure Play,,,,,,,8.04043823853885,0.0,1.0
US2644115055,,1065621.86284612,,,,,,Pure Play,,,,,,,6.999541887527576,0.0,1.0
US5311721048,,701001.0957693249,,,,,,Pure Play,,,,,,,4.604528777154663,0.0,1.0
US2296631094,,571057.03326432,,,,,,Pure Play,,,,,,,3.7509906317284685,0.0,1.0
US03064D1081,,452156.02486163203,,,,,,Pure Play,,,,,,,2.9699888356869932,0.0,1.0
US32054K1034,,430751.4643653,,,,,,Pure Play,,,,,,,2.82939288603367,0.0,1.0
US53223X1072,,422674.28686951206,,,,,,Pure Play,,,,,,,2.776337910168439,0.0,1.0
US2772761019,,392951.00745384,,,,,,Pure Play,,,,,,,2.581100418748159,0.0,1.0
US76169C1009,,368313.4975523849,,,,,,Pure Play,,,,,,,2.419268826724495,0.0,1.0
US85254J1025,,357027.290065368,,,,,,Pure Play,,,,,,,2.3451353232641683,0.0,1.0
US88146M1018,,259190.71557479995,,,,,,Pure Play,,,,,,,1.702495353913396,0.0,1.0
US6378701063,,154909.954382988,,,,,,Pure Play,,,,,,,1.0175267159053092,0.0,1.0
US08653C1062,,139749.684461076,,,,,,Pure Play,,,,,,,0.9179464163220873,0.0,1.0
US4562371066,,127218.21975539999,,,,,,Pure Play,,,,,,,0.8356334353504133,0.0,1.0
US6097201072,,113883.16773940303,,,,,,Pure Play,,,,,,,0.7480420876006268,0.0,1.0
US0231351067,,77869615.9494456,,,,,,Marginal,,,,,,,8.0,1.0,0.0
US01609W1027,,47817433.7156924,,,,,,Marginal,,,,,,,8.0,1.0,0.0
US9311421039,,14384279.1838567,,,,,,Marginal,,,,,,,4.772045717938987,0.0,0.0
US9113121068,,7913944.118135719,,,,,,Marginal,,,,,,,2.625484576477213,0.0,0.0
US31428X1063,,4711547.7699962,,,,,,Marginal,,,,,,,1.5630759854764604,0.0,0.0
US87612E1064,,4221513.02266718,,,,,,Marginal,,,,,,,1.4005048765774344,0.0,0.0
US47215P1066,,3584182.93923777,,,,,,Marginal,,,,,,,1.1890679142751246,0.0,0.0
US92936U1097,,1279418.3239890602,,,,,,Marginal,,,,,,,0.4244524634433358,0.0,0.0
US94419L1017,,897477.5075773459,,,,,,Marginal,,,,,,,0.29774197526613405,0.0,0.0
US4456581077,,849035.3814190859,,,,,,Marginal,,,,,,,0.2816710941502544,0.0,0.0
US9837931008,,712951.2067820051,,,,,,Marginal,,,,,,,0.2365245911829763,0.0,0.0
US92763W1036,,446376.42245152,,,,,,Marginal,,,,,,,0.14808727417772302,0.0,0.0
US0025353006,,347359.630515856,,,,,,Marginal,,,,,,,0.1152380328691327,0.0,0.0
US7835491082,,346655.54953837494,,,,,,Marginal,,,,,,,0.11500445101419754,0.0,0.0
US69360J1079,,289450.10341632,,,,,,Marginal,,,,,,,0.09602630127723245,0.0,0.0
US05550J1016,,258890.667133628,,,,,,Marginal,,,,,,,0.08588807848612354,0.0,0.0
US19626G1085,,230779.08392375195,,,,,,Marginal,,,,,,,0.07656194134942715,0.0,0.0
US11282X1037,,209655.26510413797,,,,,,Marginal,,,,,,,0.06955402473044296,0.0,0.0
US5290431015,,202855.245460273,,,,,,Marginal,,,,,,,0.06729808932981302,0.0,0.0
US63845R1077,,193521.68540972,,,,,,Marginal,,,,,,,0.06420164113779277,0.0,0.0
US3498531017,,191064.0970803,,,,,,Marginal,,,,,,,0.0633863257706503,0.0,0.0
US78709Y1055,,175276.66573243498,,,,,,Marginal,,,,,,,0.05814877836226947,0.0,0.0
US9507551086,,158659.61250048,,,,,,Marginal,,,,,,,0.05263600036993813,0.0,0.0
US3793782018,,153013.81004657102,,,,,,Marginal,,,,,,,0.05076298142473144,0.0,0.0
US0893021032,,148340.05038437198,,,,,,Marginal,,,,,,,0.04921244180452553,0.0,0.0
US80689H1023,,108930.05472294,,,,,,Marginal,,,,,,,0.03613800834586499,0.0,0.0
US03937C1053,,81001.008146672,,,,,,Marginal,,,,,,,0.026872428512711072,0.0,0.0
US3765361080,,61307.740555487995,,,,,,Marginal,,,,,,,0.020339103340170923,0.0,0.0
US13462K1097,,42425.6901338,,,,,,Marginal,,,,,,,0.014074902909338834,0.0,0.0
