ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,REIT,Sector,Industry,Company Name,ROE,Debt/Equity,AISC,Weight,Cap
US6668071029,,4531165.641,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
FR0000073272,,4372565.705,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
US49338L1035,,1582162.924,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
US4282911084,,564848.5367,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
US9807451037,,527816.1071,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
TH0201A10Y01,,454968.5566,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
US1271903049,,441568.7251,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
US92552V1008,,430290.2649,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
FR0010221234,,340790.9033,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
US0078001056,,255428.2584,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
US46269C1027,,252864.9581,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
KR7047810007,,227976.4834,,,,,,Pure Play,,,,,,,,,,,,,4.5,1
US2787681061,,168253.2858,,,,,,Pure Play,,,,,,,,,,,,,3.9897998681895257,0
CNE1000001Y8,,157432.49300000002,,,,,,Pure Play,,,,,,,,,,,,,3.7332057845621476,0
US4835481031,,157402.6252,,,,,,Pure Play,,,,,,,,,,,,,3.732497527698477,0
US5438811060,,78316.00876,,,,,,Pure Play,,,,,,,,,,,,,1.8571120316734855,0
US0464331083,,72526.33118,,,,,,Pure Play,,,,,,,,,,,,,1.7198210733679105,0
US68555P1003,,49617.35948,,,,,,Pure Play,,,,,,,,,,,,,1.1765793064423842,0
US2058262096,,49384.47449,,,,,,Pure Play,,,,,,,,,,,,,1.1710568912456327,0
US38046C1099,,26142.87561,,,,,,Pure Play,,,,,,,,,,,,,0.6199275168204361,0
US0970231058,,20399481.45,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US4385161066,,11307581.1,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US5398301094,,8306523.17,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US7551115071,,5068874.198,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US3695501086,,4755754.432,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US4138751056,,1871123.0219999999,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
FR0000121329,,1181089.2140000002,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US8485741099,,936496.8655,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
JP3906000009,,520595.4164,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
GB0005758098,,514329.1369,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
IT0003856405,,457177.8104,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US05605H1005,,454043.5942,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
SG1F60858221,,421604.4119,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US4228061093,,372734.5445,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
FR0000121725,,346703.364,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
GB00B07KD360,,342918.8604,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
BREMBRACNOR4,,333245.1142,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
JP3134800006,,318548.665,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
GB00B09LSH68,,296795.2319,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US6153942023,,266765.1064,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US0123481089,,199924.7765,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US2963151046,,172991.1666,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
NO0003043309,,170438.299,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US50077B2079,,137974.6936,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US8968181011,,94340.45851,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US8542311076,,87095.09719,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
US17273K1097,,60027.89402000001,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
JP3396350005,,53649.51963,,,,,,Quasi Play,,,,,,,,,,,,,1.0,1
