ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight,cap
US0231351067,,801918.94,,1400,,,,,,,,,,,1.0,1.0
US02079K3059,,324207.14,,1400,,,,,,,,,,,1.0,1.0
DE0007236101,,95415.76,,1200,,,,,,,,,,,1.0,1.0
US30303M1027,,346675.84,,1200,,,,,,,,,,,1.0,1.0
US01609W1027,,394089.73,,1200,,,,,,,,,,,1.0,1.0
US79466L3024,,114558.75,,1200,,,,,,,,,,,1.0,1.0
US0567521085,,45401.79,,1200,,,,,,,,,,,1.0,1.0
US90184L1026,,23575.91,,1000,,,,,,,,,,,1.0,1.0
GB00BWFY5505,,9048.52,,1000,,,,,,,,,,,1.0,1.0
US81762P1021,,32984.03,,800,,,,,,,,,,,1.0,1.0
US00724F1012,,119661.17,,800,,,,,,,,,,,1.0,1.0
US9858171054,,2946.99,,800,,,,,,,,,,,1.0,1.0
US92345Y1064,,19229.26,,800,,,,,,,,,,,1.0,1.0
US9892071054,,9316.34,,800,,,,,,,,,,,1.0,1.0
US7055731035,,4258.51,,800,,,,,,,,,,,1.0,1.0
US92343X1000,,2992.07,,800,,,,,,,,,,,1.0,1.0
US2786421030,,31397.79,,800,,,,,,,,,,,1.0,1.0
US8486371045,,17651.2,,800,,,,,,,,,,,1.0,1.0
US83304A1060,,5868.94,,800,,,,,,,,,,,1.0,1.0
US4435731009,,5965.23,,800,,,,,,,,,,,1.0,1.0
BMG3922B1072,,5499.27,,800,,,,,,,,,,,1.0,1.0
KYG875721634,,404337.15,,800,,,,,,,,,,,1.0,1.0
US23355L1061,,17372.67,,600,,,,,,,,,,,1.0,1.0
IL0011301780,,4949.11,,600,,,,,,,,,,,1.0,1.0
US3032501047,,6234.01,,600,,,,,,,,,,,1.0,1.0
CA6837151068,,9394.81,,600,,,,,,,,,,,1.0,1.0
US29404K1060,,2417.32,,600,,,,,,,,,,,1.0,1.0
US88339J1051,,4851.83,,600,,,,,,,,,,,1.0,1.0
US8715031089,,12637.2,,600,,,,,,,,,,,1.0,1.0
US98936J1016,,6893.5,,600,,,,,,,,,,,1.0,1.0
US7551115071,,47012.12,,600,,,,,,,,,,,1.0,1.0
US98138H1014,,25920.66,,600,,,,,,,,,,,1.0,1.0
US90138F1021,,8098.97,,600,,,,,,,,,,,1.0,1.0
CA82509L1076,,14940.58,,600,,,,,,,,,,,1.0,1.0
US32008D1063,,13467.93,,600,,,,,,,,,,,1.0,1.0
US69370C1009,,10044.65,,600,,,,,,,,,,,1.0,1.0
US04685W1036,,5524.03,,600,,,,,,,,,,,1.0,1.0
US31816Q1013,,3319.7,,600,,,,,,,,,,,1.0,1.0
GB00B19NLV48,,23179.25,,600,,,,,,,,,,,1.0,1.0
US67020Y1001,,4377.54,,600,,,,,,,,,,,1.0,1.0
US21925Y1038,,3180.29,,600,,,,,,,,,,,1.0,1.0
NZXROE0001S2,,4232.97,,600,,,,,,,,,,,1.0,1.0
JP3788600009,,29890.89,,600,,,,,,,,,,,1.0,1.0
CA8849037095,,25652.04,,600,,,,,,,,,,,1.0,1.0
US48203R1041,,9660.86,,400,,,,,,,,,,,1.0,1.0
US09227Q1004,,3312.89,,400,,,,,,,,,,,1.0,1.0
US64110L1061,,140415.01,,400,,,,,,,,,,,1.0,1.0
US54142L1098,,4547.28,,400,,,,,,,,,,,1.0,1.0
KR7005930003,,222407.32,,400,,,,,,,,,,,1.0,1.0
US1924461023,,38829.62,,400,,,,,,,,,,,1.0,1.0
US34959E1091,,12178.05,,400,,,,,,,,,,,1.0,1.0
US7153471005,,3199.33,,400,,,,,,,,,,,1.0,1.0
GB00BDD85M81,,3561.79,,400,,,,,,,,,,,1.0,1.0
DE000A2GS401,,2788.01,,300,,,,,,,,,,,1.0,1.0
US88076W1036,,5152.34,,300,,,,,,,,,,,1.0,1.0
US6668071029,,46917.33,,300,,,,,,,,,,,1.0,1.0
US5398301094,,80637.62,,300,,,,,,,,,,,1.0,1.0
US9285634021,,16569.36,,300,,,,,,,,,,,1.0,1.0
US87336U1051,,8667.81,,300,,,,,,,,,,,1.0,1.0
US0378331005,,728011.28,,300,,,,,,,,,,,1.0,1.0
US4592001014,,120769.63,,1100,,,,,,,,,,,1.0,1.0
US42824C1099,,20196.91,,1100,,,,,,,,,,,1.0,1.0
US5949181045,,819267.31,,1000,,,,,,,,,,,1.0,1.0
US4581401001,,218798.16,,1000,,,,,,,,,,,1.0,1.0
US68389X1054,,176718.37,,900,,,,,,,,,,,1.0,1.0
JP3592200004,,17798.88,,800,,,,,,,,,,,1.0,1.0
US9839191015,,22660.0,,700,,,,,,,,,,,1.0,1.0
US7475251036,,62753.68,,600,,,,,,,,,,,1.0,1.0
US0079031078,,19788.26,,600,,,,,,,,,,,1.0,1.0
US67066G1040,,91066.9,,500,,,,,,,,,,,1.0,1.0
US2328061096,,4611.24,,500,,,,,,,,,,,1.0,1.0
IE00B58JVZ52,,11093.15,,500,,,,,,,,,,,1.0,1.0
US74624M1027,,3715.28,,400,,,,,,,,,,,1.0,1.0
US8716071076,,13453.36,,400,,,,,,,,,,,1.0,1.0
NL0000226223,,12946.39,,400,,,,,,,,,,,1.0,1.0
US64110D1046,,15395.27,,200,,,,,,,,,,,1.0,1.0
US5951121038,,38384.65,,100,,,,,,,,,,,1.0,1.0
KR7000660001,,43137.05,,100,,,,,,,,,,,1.0,1.0
TW0003443008,,882.71,,100,,,,,,,,,,,1.0,1.0
TW0002344009,,1797.09,,100,,,,,,,,,,,1.0,1.0
TW0008299009,,1546.87,,100,,,,,,,,,,,1.0,1.0
