ISIN,MCAP,SMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,weight
FR0000073272,,4372565.70477659,,,,,,Pure-Play,,,,,,,4.5
US6668071029,,4531165.64074006,,,,,,Pure-Play,,,,,,,4.5
US38046C1099,,26142.875609696996,,,,,,Pure-Play,,,,,,,0.048677578707946645
US2058262096,,49384.474488252,,,,,,Pure-Play,,,,,,,0.09195303071253574
US68555P1003,,49617.359475684,,,,,,Pure-Play,,,,,,,0.09238665849988653
US0464331083,,72526.331179896,,,,,,Pure-Play,,,,,,,0.1350427645036295
US5438811060,,78316.00876197,,,,,,Pure-Play,,,,,,,0.14582304324582362
US4835481031,,157402.62518306,,,,,,Pure-Play,,,,,,,0.2930809445210313
CNE1000001Y8,,157432.493040075,,,,,,Pure-Play,,,,,,,0.29313655795018845
US2787681061,,168253.28579272196,,,,,,Pure-Play,,,,,,,0.3132846854463073
KR7047810007,,227976.48344708997,,,,,,Pure-Play,,,,,,,0.4244882384874429
US46269C1027,,252864.95811192004,,,,,,Pure-Play,,,,,,,0.47083014450059113
US0078001056,,255428.25843204994,,,,,,Pure-Play,,,,,,,0.4756029650176632
FR0010221234,,340790.903327072,,,,,,Pure-Play,,,,,,,0.6345467219184788
US92552V1008,,430290.26490848,,,,,,Pure-Play,,,,,,,0.8011929731852674
US1271903049,,441568.725108093,,,,,,Pure-Play,,,,,,,0.8221932694903709
TH0201A10Y01,,454968.556630367,,,,,,Pure-Play,,,,,,,0.8471435222222001
US9807451037,,527816.1070728,,,,,,Pure-Play,,,,,,,0.9827843913937362
US4282911084,,564848.5366832879,,,,,,Pure-Play,,,,,,,1.051738129843319
US49338L1035,,1582162.92430856,,,,,,Pure-Play,,,,,,,2.9459597875398984
US0970231058,,20399481.451231003,,,,,,,,,,,,,27.49613890578686
US4385161066,,11307581.097828697,,,,,,,,,,,,,15.241309995925686
US5398301094,,8306523.169992001,,,,,,,,,,,,,11.196231406776983
US7551115071,,5068874.197644371,,,,,,,,,,,,,6.832255484904887
US3695501086,,4755754.4323527,,,,,,,,,,,,,6.410206297959127
US4138751056,,1871123.02200296,,,,,,,,,,,,,2.52205717315939
FR0000121329,,1181089.2142333102,,,,,,,,,,,,,1.5919715004680195
US8485741099,,936496.86553932,,,,,,,,,,,,,1.2622893361904186
JP3906000009,,520595.41638019,,,,,,,,,,,,,0.701702340656402
GB0005758098,,514329.13692490297,,,,,,,,,,,,,0.6932561215337756
IT0003856405,,457177.810421998,,,,,,,,,,,,,0.6162227510566537
US05605H1005,,454043.594247696,,,,,,,,,,,,,0.6119981905698885
SG1F60858221,,421604.411850584,,,,,,,,,,,,,0.5682739288863974
US4228061093,,372734.54445849505,,,,,,,,,,,,,0.502403006366493
FR0000121725,,346703.36397201504,,,,,,,,,,,,,0.46731598926515056
GB00B07KD360,,342918.860402158,,,,,,,,,,,,,0.4622149166670549
BREMBRACNOR4,,333245.11421435204,,,,,,,,,,,,,0.4491758269453312
JP3134800006,,318548.66502002,,,,,,,,,,,,,0.4293667151580897
GB00B09LSH68,,296795.231940839,,,,,,,,,,,,,0.4000456062341761
US6153942023,,266765.106410775,,,,,,,,,,,,,0.35956847425869504
US0123481089,,199924.77646099997,,,,,,,,,,,,,0.26947544904129495
US2963151046,,172991.16656330402,,,,,,,,,,,,,0.2331720615874617
NO0003043309,,170438.298975931,,,,,,,,,,,,,0.22973109168054018
US50077B2079,,137974.69362161998,,,,,,,,,,,,,0.18597391067872035
US8968181011,,94340.45850692401,,,,,,,,,,,,,0.12716001422602188
US8542311076,,87095.09719211199,,,,,,,,,,,,,0.11739410612630087
US17273K1097,,60027.894021969005,,,,,,,,,,,,,0.08091065041020007
JP3396350005,,53649.519630785,,,,,,,,,,,,,0.0723133402936468
