ISIN,MCAP,SMCAP/FFMCAP,Theme,Score,ADTV,ADTV3M,ADTV20D,Classification,Sub-Classification,Domicile,Primary Listing,Dividend Yield,MLP,Sector,Industry,Weight
US00183L1026,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US03783C1009,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US10316T1043,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US1417881091,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US14575E1055,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US1630921096,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US2172041061,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US1416331072,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US21925Y1038,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US26210C1045,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US2786421030,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US2829141009,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US29786A1060,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US30303M1027,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US3994731079,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US4001101025,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US4612021034,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US46267X1081,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US48238T1097,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US52603A2087,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US53567X1019,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US58733R1023,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US5949181045,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US57665R1068,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US64110L1061,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US70450Y1038,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
CA7677441056,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US75606N1090,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US83304A1060,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
LU1778762911,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US8522341036,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US8256901005,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US88034P1093,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US8969452015,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US90214J1016,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US90184L1026,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US92826C8394,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US9307521008,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US9858171054,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US98954M2008,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US48138M1053,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US90353T1007,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US55087P1049,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US83356Q1085,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US72352L1061,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US98980L1017,,,,,,,,Pure-Play,,,,,,,,0.5172413793103449
US09857L1089,,,,,,,,Quasi-Play,,,,,,,,0.5172413793103449
US0537741052,,,,,,,,Quasi-Play,,,,,,,,0.5172413793103449
US0231351067,,,,,,,,Marginal-Play,,,,,,,,0.5172413793103449
US01609W1027,,,,,,,,Marginal-Play,,,,,,,,0.5172413793103449
US30212P3038,,,,,,,,Marginal-Play,,,,,,,,0.5172413793103449
US3453708600,,,,,,,,Marginal-Play,,,,,,,,0.5172413793103449
US37045V1008,,,,,,,,Marginal-Play,,,,,,,,0.5172413793103449
US02079K3059,,,,,,,,Marginal-Play,,,,,,,,0.5172413793103449
US42806J1060,,,,,,,,Marginal-Play,,,,,,,,0.5172413793103449
US7495271071,,,,,,,,Marginal-Play,,,,,,,,0.5172413793103449
US8851601018,,,,,,,,Marginal-Play,,,,,,,,0.5172413793103449
NL0009805522,,,,,,,,Marginal-Play,,,,,,,,0.5172413793103449
